ConferenceID;ID;Reviewer;Reviewer confidence;Suitability for the event;Originality;Quality;Overall Recommendation
CDIO06;CDIO06K067;mickey@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K067;super.duck@disney.com;4;5;4;5;Accept
CDIO06;CDIO06K067;wolverine@marvel.com;4;5;4;5;Accept
CDIO06;CDIO06K068;mickey@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K068;super.duck@disney.com;3;5;5;5;Accept
CDIO06;CDIO06K068;wolverine@marvel.com;3;5;5;5;Accept
CDIO06;CDIO06K069;mickey@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K069;super.duck@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K069;wolverine@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K070;mickey@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K070;super.duck@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K070;wolverine@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K071;mickey@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K071;super.duck@disney.com;3;4;4;4;Accept
CDIO06;CDIO06K071;wolverine@marvel.com;3;4;4;4;Accept
CDIO06;CDIO06K072;mickey@disney.com;5;5;4;4;Accept
CDIO06;CDIO06K072;super.duck@disney.com;5;5;4;5;Accept
CDIO06;CDIO06K072;wolverine@marvel.com;5;5;4;5;Accept
CDIO06;CDIO06KLA;rubberwoman@disney.com;5;5;4;5;Accept
CDIO06;CDIO06KLA;thing@marvel.com;5;5;4;4;Accept
CDIO06;CDIO06KLA;wolverine@marvel.com;5;4;3;4;Accept
CDIO09;CDIO09019;hulk@marvel.com;4;4;3;4;Accept
CDIO09;CDIO09019;thing@marvel.com;4;4;4;4;Accept
CDIO09;CDIO09019;wolverine@marvel.com;4;5;4;5;Accept
CDIO09;CDIO09107;hulk@marvel.com;5;4;4;4;Accept
CDIO09;CDIO09107;rubberwoman@disney.com;5;4;5;4;Accept
CDIO09;CDIO09107;thing@marvel.com;5;4;5;5;Accept
CDIO09;CDIO09118;hulk@marvel.com;4;4;4;4;Accept
CDIO09;CDIO09118;thing@marvel.com;4;3;5;4;Accept
CDIO09;CDIO09118;wolverine@marvel.com;3;5;5;5;Accept
CDIO09;CDIO09147;hulk@marvel.com;4;5;5;5;Accept
CDIO09;CDIO09147;thing@marvel.com;5;3;3;2;Reject
CDIO09;CDIO09147;wolverine@marvel.com;3;4;4;4;Accept
CDIO09;CDIO09L011;goofy@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L011;rubberwoman@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L011;super.duck@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L012;goofy@disney.com;3;4;3;4;Accept
CDIO09;CDIO09L012;rubberwoman@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L012;super.duck@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L013;goofy@disney.com;5;4;3;4;Accept
CDIO09;CDIO09L013;rubberwoman@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L013;super.duck@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L014;goofy@disney.com;5;4;4;4;Accept
CDIO09;CDIO09L014;rubberwoman@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L014;super.duck@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L015;goofy@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L015;rubberwoman@disney.com;3;4;3;4;Accept
CDIO09;CDIO09L015;super.duck@disney.com;3;4;3;4;Accept
CDIO09;CDIO09L016;goofy@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L016;rubberwoman@disney.com;5;4;3;4;Accept
CDIO09;CDIO09L016;super.duck@disney.com;5;4;3;4;Accept
CDIO09;CDIO09L017;goofy@disney.com;4;5;5;5;Accept
CDIO09;CDIO09L017;rubberwoman@disney.com;5;4;4;4;Accept
CDIO09;CDIO09L017;super.duck@disney.com;5;4;4;4;Accept
CDIO09;CDIO09L018;goofy@disney.com;5;4;5;4;Accept
CDIO09;CDIO09L018;rubberwoman@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L018;super.duck@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L019;goofy@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L019;rubberwoman@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L019;super.duck@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L020;goofy@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L020;rubberwoman@disney.com;4;5;5;5;Accept
CDIO09;CDIO09L020;super.duck@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L021;goofy@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L021;rubberwoman@disney.com;5;4;5;4;Accept
CDIO09;CDIO09L021;super.duck@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L022;goofy@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L022;rubberwoman@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L022;super.duck@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L023;goofy@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L023;rubberwoman@disney.com;4;3;5;4;Accept
CDIO09;CDIO09L023;super.duck@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L024;goofy@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L024;rubberwoman@disney.com;5;3;3;4;Accept
CDIO09;CDIO09L024;thor@marvel.com;5;5;4;4;Accept
CDIO09;CDIO09L025;goofy@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L025;rubberwoman@disney.com;5;4;5;5;Accept
CDIO09;CDIO09L025;thor@marvel.com;4;4;3;4;Accept
CDIO09;CDIO09L026;goofy@disney.com;3;4;3;4;Accept
CDIO09;CDIO09L026;rubberwoman@disney.com;4;5;4;5;Accept
CDIO09;CDIO09L026;thor@marvel.com;3;4;3;4;Accept
CDIO09;CDIO09L027;goofy@disney.com;5;4;3;4;Accept
CDIO09;CDIO09L027;rubberwoman@disney.com;3;5;5;5;Accept
CDIO09;CDIO09L027;thor@marvel.com;5;4;3;4;Accept
CDIO09;CDIO09L028;goofy@disney.com;5;4;4;4;Accept
CDIO09;CDIO09L028;rubberwoman@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L028;thor@marvel.com;5;4;4;4;Accept
CDIO09;CDIO09L029;goofy@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L029;rubberwoman@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L029;thor@marvel.com;4;4;3;4;Accept
CDIO09;CDIO09L030;goofy@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L030;rubberwoman@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L030;thor@marvel.com;4;4;4;4;Accept
CDIO09;CDIO09L031;goofy@disney.com;4;5;5;5;Accept
CDIO09;CDIO09L031;rubberwoman@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L031;thor@marvel.com;4;5;5;5;Accept
CDIO09;CDIO09L032;goofy@disney.com;5;4;5;4;Accept
CDIO09;CDIO09L032;rubberwoman@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L032;thor@marvel.com;5;4;5;4;Accept
CDIO09;CDIO09L033;goofy@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L033;rubberwoman@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L033;thor@marvel.com;4;4;4;4;Accept
CDIO09;CDIO09L034;goofy@disney.com;4;3;5;4;Accept
CDIO09;CDIO09L034;rubberwoman@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L034;thor@marvel.com;4;3;5;4;Accept
CDIO09;CDIO09L035;goofy@disney.com;5;3;3;4;Accept
CDIO09;CDIO09L035;rubberwoman@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L035;thor@marvel.com;5;3;3;4;Accept
CDIO09;CDIO09L036;goofy@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L036;rubberwoman@disney.com;3;4;3;4;Accept
CDIO09;CDIO09L036;thor@marvel.com;5;4;5;5;Accept
CDIO09;CDIO09L037;goofy@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L037;rubberwoman@disney.com;5;4;3;4;Accept
CDIO09;CDIO09L037;thor@marvel.com;4;5;4;5;Accept
CDIO09;CDIO09L038;goofy@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L038;rubberwoman@disney.com;5;4;4;4;Accept
CDIO09;CDIO09L038;thor@marvel.com;3;5;5;5;Accept
CDIO09;CDIO09L039;goofy@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L039;rubberwoman@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L039;thor@marvel.com;3;4;4;4;Accept
CDIO09;CDIO09L040;goofy@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L040;rubberwoman@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L040;thor@marvel.com;3;4;4;4;Accept
CDIO09;CDIO09L041;goofy@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L041;rubberwoman@disney.com;4;5;5;5;Accept
CDIO09;CDIO09L041;thor@marvel.com;3;4;4;4;Accept
CDIO09;CDIO09L042;goofy@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L042;rubberwoman@disney.com;5;4;5;4;Accept
CDIO09;CDIO09L042;thor@marvel.com;5;5;4;5;Accept
CDIO09;CDIO09L043;goofy@disney.com;3;4;3;4;Accept
CDIO09;CDIO09L043;rubberwoman@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L043;thor@marvel.com;5;5;4;5;Accept
CDIO09;CDIO09L044;goofy@disney.com;5;4;3;4;Accept
CDIO09;CDIO09L044;rubberwoman@disney.com;4;3;5;4;Accept
CDIO09;CDIO09L044;thor@marvel.com;5;5;4;4;Accept
CDIO09;CDIO09L045;goofy@disney.com;5;4;4;4;Accept
CDIO09;CDIO09L045;rubberwoman@disney.com;5;3;3;3;Reject
CDIO09;CDIO09L045;thor@marvel.com;5;5;4;4;Accept
CDIO09;CDIO09L046;goofy@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L046;rubberwoman@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L046;thor@marvel.com;4;4;3;4;Accept
CDIO09;CDIO09L047;goofy@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L047;rubberwoman@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L047;thor@marvel.com;3;4;3;4;Accept
CDIO09;CDIO09L048;goofy@disney.com;4;5;5;5;Accept
CDIO09;CDIO09L048;rubberwoman@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L048;thor@marvel.com;5;4;3;4;Accept
CDIO09;CDIO09L049;goofy@disney.com;5;4;5;4;Accept
CDIO09;CDIO09L049;rubberwoman@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L049;thor@marvel.com;5;4;4;4;Accept
CDIO09;CDIO09L050;goofy@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L050;rubberwoman@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L050;thor@marvel.com;4;4;3;4;Accept
CDIO09;CDIO09L051;goofy@disney.com;4;3;5;4;Accept
CDIO09;CDIO09L051;rubberwoman@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L051;thor@marvel.com;4;4;4;4;Accept
CDIO09;CDIO09L052;goofy@disney.com;5;3;3;4;Accept
CDIO09;CDIO09L052;rubberwoman@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L052;thor@marvel.com;4;5;5;5;Accept
CDIO09;CDIO09L053;goofy@disney.com;5;4;5;5;Accept
CDIO09;CDIO09L053;rubberwoman@disney.com;3;4;3;4;Accept
CDIO09;CDIO09L053;thor@marvel.com;5;4;5;4;Accept
CDIO09;CDIO09L054;goofy@disney.com;4;5;4;5;Accept
CDIO09;CDIO09L054;rubberwoman@disney.com;5;4;3;4;Accept
CDIO09;CDIO09L054;thor@marvel.com;4;4;4;4;Accept
CDIO09;CDIO09L055;goofy@disney.com;3;5;5;5;Accept
CDIO09;CDIO09L055;thor@marvel.com;4;3;5;4;Accept
CDIO09;CDIO09L055;wolverine@marvel.com;5;4;4;4;Accept
CDIO09;CDIO09L056;goofy@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L056;thor@marvel.com;5;3;3;2;Reject
CDIO09;CDIO09L056;wolverine@marvel.com;4;4;3;4;Accept
CDIO09;CDIO09L057;goofy@disney.com;3;4;4;4;Accept
CDIO09;CDIO09L057;thor@marvel.com;5;4;5;5;Accept
CDIO09;CDIO09L057;wolverine@marvel.com;4;4;4;4;Accept
CDIO09;CDIO09L058;goofy@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L058;thor@marvel.com;4;5;4;5;Accept
CDIO09;CDIO09L058;wolverine@marvel.com;4;5;5;5;Accept
CDIO09;CDIO09L059;goofy@disney.com;5;5;4;5;Accept
CDIO09;CDIO09L059;thor@marvel.com;3;4;4;4;Accept
CDIO09;CDIO09L059;wolverine@marvel.com;5;4;5;4;Accept
CDIO09;CDIO09L060;goofy@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L060;thor@marvel.com;3;4;4;4;Accept
CDIO09;CDIO09L060;wolverine@marvel.com;4;4;4;4;Accept
CDIO09;CDIO09L061;goofy@disney.com;5;5;4;4;Accept
CDIO09;CDIO09L061;thor@marvel.com;5;5;4;5;Accept
CDIO09;CDIO09L061;wolverine@marvel.com;4;3;5;4;Accept
CDIO09;CDIO09L062;goofy@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L062;thor@marvel.com;5;5;4;5;Accept
CDIO09;CDIO09L062;wolverine@marvel.com;5;3;3;2;Reject
CDIO09;CDIO09L063;goofy@disney.com;3;4;3;4;Accept
CDIO09;CDIO09L063;thor@marvel.com;5;5;4;4;Accept
CDIO09;CDIO09L063;wolverine@marvel.com;5;4;5;5;Accept
CDIO09;CDIO09L064;goofy@disney.com;5;4;3;4;Accept
CDIO09;CDIO09L064;thor@marvel.com;5;5;4;4;Accept
CDIO09;CDIO09L064;wolverine@marvel.com;4;5;4;5;Accept
CDIO09;CDIO09L065;goofy@disney.com;5;4;4;4;Accept
CDIO09;CDIO09L065;thor@marvel.com;4;4;3;4;Accept
CDIO09;CDIO09L065;wolverine@marvel.com;3;5;5;5;Accept
CDIO09;CDIO09L066;goofy@disney.com;4;4;3;4;Accept
CDIO09;CDIO09L066;thor@marvel.com;3;4;3;4;Accept
CDIO09;CDIO09L066;wolverine@marvel.com;3;4;4;4;Accept
CDIO09;CDIO09L067;goofy@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L067;thor@marvel.com;5;4;3;4;Accept
CDIO09;CDIO09L067;wolverine@marvel.com;3;4;4;4;Accept
CDIO09;CDIO09L068;goofy@disney.com;4;5;5;5;Accept
CDIO09;CDIO09L068;thor@marvel.com;5;4;4;4;Accept
CDIO09;CDIO09L068;wolverine@marvel.com;3;4;4;4;Accept
CDIO09;CDIO09L069;goofy@disney.com;5;4;5;4;Accept
CDIO09;CDIO09L069;thor@marvel.com;4;4;3;4;Accept
CDIO09;CDIO09L069;wolverine@marvel.com;5;5;4;5;Accept
CDIO09;CDIO09L070;thor@marvel.com;4;4;4;4;Accept
CDIO09;CDIO09L070;uncle.scrooge@disney.com;4;4;4;4;Accept
CDIO09;CDIO09L070;wolverine@marvel.com;5;5;4;5;Accept
CDIO09;CDIO09L071;thor@marvel.com;4;5;5;5;Accept
CDIO09;CDIO09L071;uncle.scrooge@disney.com;4;3;5;4;Accept
CDIO09;CDIO09L071;wolverine@marvel.com;5;5;4;4;Accept
CDIO09;CDIO09L072;thor@marvel.com;5;4;5;4;Accept
